black,white,black_to_move,move,result
34628698112,68853694464,0,19,0
34628698112,8864946716672,1,43,0
17626814742528,8864946716672,0,44,0
17626814742528,8882126585856,1,34,0
17764253696000,8882126585856,0,37,0
17764253696000,4512481753956352,1,52,0
22162300207104,4512481753956352,0,42,0
22162300207104,4512756631863296,1,38,0
22712056020992,4512756631863296,0,39,0
22712056020992,4547941003952128,1,45,0
2274511869706240,4547941003952128,0,51,0
2274511869706240,581008693307375616,1,59,0
11281711124447232,581008693307375616,0,53,0
11281711124447232,2886851702521069568,1,61,0
1164203215731294208,2886851702521069568,0,60,0
1164203215731294208,2886851702521071616,1,11,0
1452433591883005952,2886851702521071616,0,58,0
1452433591883005952,2886851703057942528,1,29,0
1452433592956747776,2886851703057942528,0,30,0
1452433592956747776,2887977602964785152,1,50,0
1452503961700925440,2887977602964785152,0,46,0
1452503961700925440,2887977602968979456,1,22,0
1452503961700925448,2887977602968979456,0,3,0
1452503961700925448,3032092791044835328,1,57,0
1452503970290860040,3032092791044835328,0,33,0
1452503970290860040,3032233528533190656,1,47,0
1452503970292957192,3032233528533190656,0,21,0
1452503970292957192,3032233528533198848,1,13,0
1452503970292973576,3032233528533198848,0,14,0
1452503970292973576,3032233530680682496,1,31,0
1452503970301362184,3032233530680682496,0,23,0
1452503970301362184,3032233530681731072,1,20,0
1452503970368471048,3032233530681731072,0,26,0
1452503970368471048,3032233530681731136,1,6,0
1453066920321892360,3032233530681731136,0,49,0
1453066920321892360,3032233530681993280,1,18,0
1453066920321892392,3032233530681993280,0,5,0
1453066920321892392,3032233530715547712,1,25,0
1489095717340856360,3032233530715547712,0,55,0
1489095717340856360,3032234630227175488,1,40,0
1507110115850338344,3032234630227175488,0,54,0
1507110115850338344,12255606667081951296,1,63,0
1507110115850342440,12255606667081951296,0,12,0
1507110115850342440,12255608866105206848,1,41,0
6118796134277730344,12255608866105206848,0,62,0
6118796134277730344,12255608870400174144,1,32,0
6118796134277861416,12255608870400174144,0,17,0
6118796134277861416,12255608870400239680,1,16,0
6190853728315789352,12255608870400239680,0,56,0
6190853728315789352,12255608870400240192,1,9,0
6191135203292500008,12255608870400240192,0,48,0
6191135203292500008,12255608870417017408,1,24,0
6191135203292500264,12255608870417017408,0,8,0
6191135203292500264,12255608870417018432,1,10,0
6191135203292500280,12255608870417018432,0,4,0
6191135203292500280,12255608870417018560,1,7,0
6191135203292500282,12255608870417018560,0,1,0
6191135203292500282,12255608870417051328,1,15,0
6191135203292500283,12255608870417051328,0,0,0
6191135203292500283,12255608870417051332,1,2,0
